,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
249,1,14,6000,50000,0.1468,0.009809785706283294
250,1,14,6000,150000,0.0238,0.0042250217536954765
251,1,14,6000,500000,0.0028,0.00146467483463054
252,1,16,20,1500,0.0008,0.0007836863372548995
253,1,16,20,5000,0.0,0.0
254,1,16,20,15000,0.0002,0.00039196079803980395
255,1,16,20,50000,0.0,0.0
256,1,16,20,150000,0.0002,0.00039196079803980395
257,1,16,20,500000,0.0,0.0
258,1,16,60,1500,0.013,0.0031397952035124837
259,1,16,60,5000,0.0004,0.0005542608310173108
260,1,16,60,15000,0.0004,0.0005542608310173108
261,1,16,60,50000,0.0,0.0
262,1,16,60,150000,0.0002,0.00039196079803980395
263,1,16,60,500000,0.0,0.0
264,1,16,200,1500,0.1434,0.00971481824744035
265,1,16,200,5000,0.0108,0.002865002470365427
266,1,16,200,15000,0.0004,0.0005542608310173108
267,1,16,200,50000,0.0,0.0
268,1,16,200,150000,0.0,0.0
269,1,16,200,500000,0.0,0.0
270,1,16,600,1500,0.2812,0.012461856947469747
271,1,16,600,5000,0.1146,0.00882943953537256
272,1,16,600,15000,0.0136,0.0032104584614662123
273,1,16,600,50000,0.0008,0.0007836863372548995
274,1,16,600,150000,0.0002,0.00039196079803980395
275,1,16,600,500000,0.0002,0.00039196079803980395
276,1,16,2000,1500,0.3458,0.01318374619124625
277,1,16,2000,5000,0.2732,0.012351476488387936
278,1,16,2000,15000,0.129,0.009291268313852529
279,1,16,2000,50000,0.013,0.0031397952035124837
280,1,16,2000,150000,0.0008,0.0007836863372548995
281,1,16,2000,500000,0.0002,0.00039196079803980395
282,1,16,6000,1500,0.3754,0.013422060537369067
283,1,16,6000,5000,0.3476,0.013199817577406138
284,1,16,6000,15000,0.2678,0.012274144104221686
285,1,16,6000,50000,0.1006,0.008337704540507538
286,1,16,6000,150000,0.0158,0.00345653766002918
287,1,16,6000,500000,0.0008,0.0007836863372548995
288,1,18,20,1500,0.0012,0.0009596236862437275
289,1,18,20,5000,0.0,0.0
290,1,18,20,15000,0.0002,0.00039196079803980395
291,1,18,20,50000,0.0006,0.0006787601968294841
292,1,18,20,150000,0.0002,0.00039196079803980395
293,1,18,20,500000,0.0,0.0
294,1,18,60,1500,0.0118,0.0029931914611664922
295,1,18,60,5000,0.0002,0.00039196079803980395
296,1,18,60,15000,0.0,0.0
297,1,18,60,50000,0.0004,0.0005542608310173108
298,1,18,60,150000,0.0,0.0
299,1,18,60,500000,0.0002,0.00039196079803980395
300,1,18,200,1500,0.119,0.00897495963667804
301,1,18,200,5000,0.0092,0.002646415197054309
302,1,18,200,15000,0.0,0.0
303,1,18,200,50000,0.0002,0.00039196079803980395
304,1,18,200,150000,0.0,0.0
305,1,18,200,500000,0.0,0.0
306,1,18,600,1500,0.2298,0.011661323368606155
307,1,18,600,5000,0.0886,0.007876666219461124
308,1,18,600,15000,0.0084,0.0025297579609124664
309,1,18,600,50000,0.0002,0.00039196079803980395
310,1,18,600,150000,0.0002,0.00039196079803980395
311,1,18,600,500000,0.0,0.0
312,1,18,2000,1500,0.2926,0.012610745402108473
313,1,18,2000,5000,0.2296,0.011657761017828422
314,1,18,2000,15000,0.0898,0.007924605528807097
315,1,18,2000,50000,0.0076,0.002407250264679599
316,1,18,2000,150000,0.0006,0.0006787601968294841
317,1,18,2000,500000,0.0002,0.00039196079803980395
318,1,18,6000,1500,0.3426,0.013154659113667673
319,1,18,6000,5000,0.3014,0.012719117630276087
320,1,18,6000,15000,0.2074,0.011238348081315153
321,1,18,6000,50000,0.0838,0.007680477517654745
322,1,18,6000,150000,0.0082,0.0024997124160991
323,1,18,6000,500000,0.0006,0.0006787601968294841
324,1,20,20,1500,0.0004,0.0005542608310173108
325,1,20,20,5000,0.0,0.0
326,1,20,20,15000,0.0,0.0
327,1,20,20,50000,0.0,0.0
328,1,20,20,150000,0.0002,0.00039196079803980395
329,1,20,20,500000,0.0,0.0
330,1,20,60,1500,0.006,0.0021406215172234443
331,1,20,60,5000,0.0,0.0
332,1,20,60,15000,0.0,0.0
333,1,20,60,50000,0.0,0.0
334,1,20,60,150000,0.0004,0.0005542608310173108
335,1,20,60,500000,0.0002,0.00039196079803980395
336,1,20,200,1500,0.0862,0.007779474811271002
337,1,20,200,5000,0.0038,0.001705438787878357
338,1,20,200,15000,0.0002,0.00039196079803980395
339,1,20,200,50000,0.0002,0.00039196079803980395
340,1,20,200,150000,0.0002,0.00039196079803980395
341,1,20,200,500000,0.0,0.0
342,1,20,600,1500,0.1962,0.011007648970565878
343,1,20,600,5000,0.062,0.006684490849720717
344,1,20,600,15000,0.0062,0.002175787163120511
345,1,20,600,50000,0.0002,0.00039196079803980395
346,1,20,600,150000,0.0002,0.00039196079803980395
347,1,20,600,500000,0.0,0.0
348,1,20,2000,1500,0.258,0.01212782369264989
349,1,20,2000,5000,0.2032,0.01115340785604113
350,1,20,2000,15000,0.0742,0.007264932943613451
351,1,20,2000,50000,0.0052,0.0019936119550203347
352,1,20,2000,150000,0.0008,0.0007836863372548995
353,1,20,2000,500000,0.0,0.0
354,1,20,6000,1500,0.2886,0.012559610261978674
355,1,20,6000,5000,0.2622,0.012191488639669889
356,1,20,6000,15000,0.1984,0.011054033015185
357,1,20,6000,50000,0.0588,0.0065207971674635
358,1,20,6000,150000,0.0036,0.0016601188429748032
359,1,20,6000,500000,0.0008,0.0007836863372548995
360,1,22,20,1500,0.0,0.0
361,1,22,20,5000,0.0002,0.00039196079803980395
362,1,22,20,15000,0.0,0.0
363,1,22,20,50000,0.0,0.0
364,1,22,20,150000,0.0002,0.00039196079803980395
365,1,22,20,500000,0.0,0.0
366,1,22,60,1500,0.0042,0.0017925933267754848
367,1,22,60,5000,0.0,0.0
368,1,22,60,15000,0.0004,0.0005542608310173108
369,1,22,60,50000,0.0,0.0
370,1,22,60,150000,0.0,0.0
371,1,22,60,500000,0.0,0.0
372,1,22,200,1500,0.0694,0.007044210550856639
373,1,22,200,5000,0.0026,0.0014115375151939815
374,1,22,200,15000,0.0004,0.0005542608310173108
375,1,22,200,50000,0.0,0.0
376,1,22,200,150000,0.0,0.0
377,1,22,200,500000,0.0,0.0
378,1,22,600,1500,0.1696,0.010402259013733508
379,1,22,600,5000,0.049,0.005983556106530631
380,1,22,600,15000,0.0032,0.0015654891897422991
381,1,22,600,50000,0.0002,0.00039196079803980395
382,1,22,600,150000,0.0004,0.0005542608310173108
383,1,22,600,500000,0.0002,0.00039196079803980395
384,1,22,2000,1500,0.2264,0.01160025432879814
385,1,22,2000,5000,0.1674,0.010348252076404014
386,1,22,2000,15000,0.057,0.00642634953297749
387,1,22,2000,50000,0.0036,0.0016601188429748032
388,1,22,2000,150000,0.0,0.0
389,1,22,2000,500000,0.0,0.0
390,1,22,6000,1500,0.253,0.01205012718273131
391,1,22,6000,5000,0.2338,0.011731793132305053
392,1,22,6000,15000,0.1668,0.010333411467816425
393,1,22,6000,50000,0.046,0.00580663025170365
394,1,22,6000,150000,0.0032,0.0015654891897422991
395,1,22,6000,500000,0.0,0.0
396,1,24,20,1500,0.0002,0.00039196079803980395
397,1,24,20,5000,0.0002,0.00039196079803980395
398,1,24,20,15000,0.0,0.0
399,1,24,20,50000,0.0,0.0
400,1,24,20,150000,0.0004,0.0005542608310173108
401,1,24,20,500000,0.0002,0.00039196079803980395
402,1,24,60,1500,0.003,0.0015159304469532895
403,1,24,60,5000,0.0,0.0
404,1,24,60,15000,0.0,0.0
405,1,24,60,50000,0.0002,0.00039196079803980395
406,1,24,60,150000,0.0002,0.00039196079803980395
407,1,24,60,500000,0.0002,0.00039196079803980395
408,1,24,200,1500,0.0482,0.0059370053261892895
409,1,24,200,5000,0.002,0.001238372609516215
410,1,24,200,15000,0.0,0.0
411,1,24,200,50000,0.0002,0.00039196079803980395
412,1,24,200,150000,0.0002,0.00039196079803980395
413,1,24,200,500000,0.0002,0.00039196079803980395
414,1,24,600,1500,0.139,0.009589148516943514
415,1,24,600,5000,0.0326,0.004922468104193261
416,1,24,600,15000,0.0018,0.001174941123290865
417,1,24,600,50000,0.0,0.0
418,1,24,600,150000,0.0,0.0
419,1,24,600,500000,0.0,0.0
420,1,24,2000,1500,0.1962,0.011007648970565878
421,1,24,2000,5000,0.1348,0.009466169370299688
422,1,24,2000,15000,0.039,0.005366177902380799
423,1,24,2000,50000,0.0016,0.0011078560830721652
424,1,24,2000,150000,0.0002,0.00039196079803980395
425,1,24,2000,500000,0.0,0.0
426,1,24,6000,1500,0.2138,0.011364267276828717
427,1,24,6000,5000,0.197,0.011024577503015704
428,1,24,6000,15000,0.1348,0.009466169370299688
429,1,24,6000,50000,0.0352,0.005108119496174693
430,1,24,6000,150000,0.0018,0.001174941123290865
431,1,24,6000,500000,0.0002,0.00039196079803980395
432,1,26,20,1500,0.0002,0.00039196079803980395
433,1,26,20,5000,0.0,0.0
434,1,26,20,15000,0.0,0.0
435,1,26,20,50000,0.0,0.0
436,1,26,20,150000,0.0,0.0
437,1,26,20,500000,0.0,0.0
438,1,26,60,1500,0.0028,0.00146467483463054
439,1,26,60,5000,0.0,0.0
440,1,26,60,15000,0.0,0.0
441,1,26,60,50000,0.0,0.0
442,1,26,60,150000,0.0,0.0
443,1,26,60,500000,0.0,0.0
444,1,26,200,1500,0.049,0.005983556106530631
445,1,26,200,5000,0.001,0.0008761002682341788
446,1,26,200,15000,0.0002,0.00039196079803980395
447,1,26,200,50000,0.0,0.0
448,1,26,200,150000,0.0,0.0
449,1,26,200,500000,0.0,0.0
450,1,26,600,1500,0.1056,0.0085186136832703
451,1,26,600,5000,0.0252,0.0043443929457635385
452,1,26,600,15000,0.001,0.0008761002682341788
453,1,26,600,50000,0.0002,0.00039196079803980395
454,1,26,600,150000,0.0,0.0
455,1,26,600,500000,0.0,0.0
456,1,26,2000,1500,0.1746,0.01052265716769296
457,1,26,2000,5000,0.1146,0.00882943953537256
458,1,26,2000,15000,0.0346,0.005065971775365512
459,1,26,2000,50000,0.0016,0.0011078560830721652
460,1,26,2000,150000,0.0,0.0
461,1,26,2000,500000,0.0,0.0
462,1,26,6000,1500,0.1918,0.010913267327578849
463,1,26,6000,5000,0.1692,0.010392487061103323
464,1,26,6000,15000,0.1146,0.00882943953537256
465,1,26,6000,50000,0.0272,0.004508865725567795
466,1,26,6000,150000,0.0016,0.0011078560830721652
467,1,26,6000,500000,0.0002,0.00039196079803980395
468,1,28,20,1500,0.0002,0.00039196079803980395
469,1,28,20,5000,0.0,0.0
470,1,28,20,15000,0.0,0.0
471,1,28,20,50000,0.0002,0.00039196079803980395
472,1,28,20,150000,0.0,0.0
473,1,28,20,500000,0.0,0.0
474,1,28,60,1500,0.0012,0.0009596236862437275
475,1,28,60,5000,0.0002,0.00039196079803980395
476,1,28,60,15000,0.0,0.0
477,1,28,60,50000,0.0,0.0
478,1,28,60,150000,0.0002,0.00039196079803980395
479,1,28,60,500000,0.0,0.0
480,1,28,200,1500,0.0308,0.004789091449868127
481,1,28,200,5000,0.0008,0.0007836863372548995
482,1,28,200,15000,0.0,0.0
483,1,28,200,50000,0.0002,0.00039196079803980395
484,1,28,200,150000,0.0,0.0
485,1,28,200,500000,0.0,0.0
486,1,28,600,1500,0.0898,0.007924605528807097
487,1,28,600,5000,0.0178,0.003665059548111053
488,1,28,600,15000,0.0008,0.0007836863372548995
489,1,28,600,50000,0.0002,0.00039196079803980395
490,1,28,600,150000,0.0,0.0
491,1,28,600,500000,0.0,0.0
492,1,28,2000,1500,0.1466,0.009804249926475762
493,1,28,2000,5000,0.0934,0.0080658912948787
494,1,28,2000,15000,0.0228,0.0041374258339213765
495,1,28,2000,50000,0.0008,0.0007836863372548995
496,1,28,2000,150000,0.0,0.0
497,1,28,2000,500000,0.0,0.0
498,1,28,6000,1500,0.1562,0.010063089713363386
499,1,28,6000,5000,0.143,0.0097035243246977
500,1,28,6000,15000,0.09,0.00793255368718044
501,1,28,6000,50000,0.0172,0.0036038596270110187
502,1,28,6000,150000,0.0012,0.0009596236862437275
503,1,28,6000,500000,0.0,0.0
504,1,30,20,1500,0.0,0.0
505,1,30,20,5000,0.0,0.0
506,1,30,20,15000,0.0002,0.00039196079803980395
507,1,30,20,50000,0.0,0.0
508,1,30,20,150000,0.0,0.0
509,1,30,20,500000,0.0,0.0
510,1,30,60,1500,0.0012,0.0009596236862437275
511,1,30,60,5000,0.0002,0.00039196079803980395
512,1,30,60,15000,0.0,0.0
513,1,30,60,50000,0.0,0.0
514,1,30,60,150000,0.0,0.0
515,1,30,60,500000,0.0,0.0
516,1,30,200,1500,0.0248,0.004310659864475507
517,1,30,200,5000,0.0022,0.001298686001772561
518,1,30,200,15000,0.0,0.0
519,1,30,200,50000,0.0,0.0
520,1,30,200,150000,0.0,0.0
521,1,30,200,500000,0.0,0.0
522,1,30,600,1500,0.079,0.007476777038269899
523,1,30,600,5000,0.0174,0.003624382904274878
524,1,30,600,15000,0.0008,0.0007836863372548995
525,1,30,600,50000,0.0002,0.00039196079803980395
526,1,30,600,150000,0.0,0.0
527,1,30,600,500000,0.0002,0.00039196079803980395
528,1,30,2000,1500,0.1284,0.00927282773596059
529,1,30,2000,5000,0.0762,0.007354235515619554
530,1,30,2000,15000,0.0214,0.004011257679681025
531,1,30,2000,50000,0.0004,0.0005542608310173108
532,1,30,2000,150000,0.0,0.0
533,1,30,2000,500000,0.0,0.0
534,1,30,6000,1500,0.1554,0.010042043885026594
535,1,30,6000,5000,0.1164,0.008889460672774248
536,1,30,6000,15000,0.0802,0.007528439348709664
537,1,30,6000,50000,0.0172,0.0036038596270110187
538,1,30,6000,150000,0.0006,0.0006787601968294841
539,1,30,6000,500000,0.0002,0.00039196079803980395
540,1,32,20,1500,0.0,0.0
541,1,32,20,5000,0.0,0.0
542,1,32,20,15000,0.0,0.0
543,1,32,20,50000,0.0,0.0
544,1,32,20,150000,0.0,0.0
545,1,32,20,500000,0.0,0.0
546,1,32,60,1500,0.0002,0.00039196079803980395
547,1,32,60,5000,0.0,0.0
548,1,32,60,15000,0.0,0.0
