,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
303,1,0.9,200,50000,0.0028,0.00146467483463054
304,1,0.9,200,150000,0.001,0.0008761002682341788
305,1,0.9,200,500000,0.0012,0.0009596236862437275
306,1,0.9,600,1500,0.2386,0.011814428684147196
307,1,0.9,600,5000,0.143,0.0097035243246977
308,1,0.9,600,15000,0.0282,0.004588640888454881
309,1,0.9,600,50000,0.0062,0.002175787163120511
310,1,0.9,600,150000,0.0016,0.0011078560830721652
311,1,0.9,600,500000,0.002,0.001238372609516215
312,1,0.9,2000,1500,0.2674,0.012268323741929864
313,1,0.9,2000,5000,0.2314,0.01168968844806396
314,1,0.9,2000,15000,0.15,0.009897514839594836
315,1,0.9,2000,50000,0.029,0.004651357100890019
316,1,0.9,2000,150000,0.0074,0.0023756040909208758
317,1,0.9,2000,500000,0.0022,0.001298686001772561
318,1,0.9,6000,1500,0.2662,0.01225078585639305
319,1,0.9,6000,5000,0.2742,0.012365545401445098
320,1,0.9,6000,15000,0.245,0.011921408977130177
321,1,0.9,6000,50000,0.1464,0.00979870788281802
322,1,0.9,6000,150000,0.0344,0.0050518322265095065
323,1,0.9,6000,500000,0.006,0.0021406215172234443
324,1,1.0,20,1500,0.0056,0.002068452920614825
325,1,1.0,20,5000,0.0016,0.0011078560830721652
326,1,1.0,20,15000,0.0004,0.0005542608310173108
327,1,1.0,20,50000,0.0008,0.0007836863372548995
328,1,1.0,20,150000,0.0006,0.0006787601968294841
329,1,1.0,20,500000,0.0006,0.0006787601968294841
330,1,1.0,60,1500,0.0372,0.005245786123280285
331,1,1.0,60,5000,0.0036,0.0016601188429748032
332,1,1.0,60,15000,0.001,0.0008761002682341788
333,1,1.0,60,50000,0.0008,0.0007836863372548995
334,1,1.0,60,150000,0.0004,0.0005542608310173108
335,1,1.0,60,500000,0.0004,0.0005542608310173108
336,1,1.0,200,1500,0.1426,0.009692204558138462
337,1,1.0,200,5000,0.0332,0.004966019629763862
338,1,1.0,200,15000,0.0054,0.002031384697392397
339,1,1.0,200,50000,0.0018,0.001174941123290865
340,1,1.0,200,150000,0.0008,0.0007836863372548995
341,1,1.0,200,500000,0.0008,0.0007836863372548995
342,1,1.0,600,1500,0.2032,0.01115340785604113
343,1,1.0,600,5000,0.1152,0.008849523068911678
344,1,1.0,600,15000,0.0198,0.0038615442283107416
345,1,1.0,600,50000,0.0044,0.0018345935039675684
346,1,1.0,600,150000,0.0004,0.0005542608310173108
347,1,1.0,600,500000,0.0,0.0
348,1,1.0,2000,1500,0.234,0.011735278014601955
349,1,1.0,2000,5000,0.206,0.01121024051838318
350,1,1.0,2000,15000,0.127,0.009229539897524685
351,1,1.0,2000,50000,0.0212,0.00399287744104424
352,1,1.0,2000,150000,0.0038,0.001705438787878357
353,1,1.0,2000,500000,0.0018,0.001174941123290865
354,1,1.0,6000,1500,0.251,0.012018460453818533
355,1,1.0,6000,5000,0.2294,0.011654194941084519
356,1,1.0,6000,15000,0.203,0.011149316621210468
357,1,1.0,6000,50000,0.1234,0.009116526153135306
358,1,1.0,6000,150000,0.0202,0.0038995587836574536
359,1,1.0,6000,500000,0.0038,0.001705438787878357
360,1,1.1,20,1500,0.0038,0.001705438787878357
361,1,1.1,20,5000,0.0008,0.0007836863372548995
362,1,1.1,20,15000,0.0004,0.0005542608310173108
363,1,1.1,20,50000,0.0,0.0
364,1,1.1,20,150000,0.0,0.0
365,1,1.1,20,500000,0.001,0.0008761002682341788
366,1,1.1,60,1500,0.0268,0.004476509560271261
367,1,1.1,60,5000,0.0014,0.0010364082655015833
368,1,1.1,60,15000,0.001,0.0008761002682341788
369,1,1.1,60,50000,0.0006,0.0006787601968294841
370,1,1.1,60,150000,0.0002,0.00039196079803980395
371,1,1.1,60,500000,0.0002,0.00039196079803980395
372,1,1.1,200,1500,0.12,0.009007474229771628
373,1,1.1,200,5000,0.022,0.004065854537486554
374,1,1.1,200,15000,0.0038,0.001705438787878357
375,1,1.1,200,50000,0.001,0.0008761002682341788
376,1,1.1,200,150000,0.0,0.0
377,1,1.1,200,500000,0.001,0.0008761002682341788
378,1,1.1,600,1500,0.1618,0.010207847095406553
379,1,1.1,600,5000,0.1038,0.008454194122398657
380,1,1.1,600,15000,0.02,0.003880602015151773
381,1,1.1,600,50000,0.002,0.001238372609516215
382,1,1.1,600,150000,0.0016,0.0011078560830721652
383,1,1.1,600,500000,0.0002,0.00039196079803980395
384,1,1.1,2000,1500,0.185,0.010763059416355556
385,1,1.1,2000,5000,0.1666,0.010328453908538296
386,1,1.1,2000,15000,0.1128,0.008768723695681144
387,1,1.1,2000,50000,0.0168,0.0035624325064764384
388,1,1.1,2000,150000,0.0028,0.00146467483463054
389,1,1.1,2000,500000,0.001,0.0008761002682341788
390,1,1.1,6000,1500,0.2116,0.011321454061241427
391,1,1.1,6000,5000,0.1932,0.010943533583043457
392,1,1.1,6000,15000,0.1736,0.01049883435876574
393,1,1.1,6000,50000,0.088,0.00785253398082428
394,1,1.1,6000,150000,0.0186,0.00374498918727411
395,1,1.1,6000,500000,0.0022,0.001298686001772561
396,1,1.2,20,1500,0.0024,0.0013562973408511865
397,1,1.2,20,5000,0.0002,0.00039196079803980395
398,1,1.2,20,15000,0.0004,0.0005542608310173108
399,1,1.2,20,50000,0.0002,0.00039196079803980395
400,1,1.2,20,150000,0.0,0.0
401,1,1.2,20,500000,0.0002,0.00039196079803980395
402,1,1.2,60,1500,0.0206,0.003937175094506212
403,1,1.2,60,5000,0.002,0.001238372609516215
404,1,1.2,60,15000,0.0002,0.00039196079803980395
405,1,1.2,60,50000,0.0008,0.0007836863372548995
406,1,1.2,60,150000,0.0006,0.0006787601968294841
407,1,1.2,60,500000,0.0,0.0
408,1,1.2,200,1500,0.0964,0.008180836202540667
409,1,1.2,200,5000,0.0164,0.003520483014133146
410,1,1.2,200,15000,0.0018,0.001174941123290865
411,1,1.2,200,50000,0.0006,0.0006787601968294841
412,1,1.2,200,150000,0.001,0.0008761002682341788
413,1,1.2,200,500000,0.0002,0.00039196079803980395
414,1,1.2,600,1500,0.1444,0.009742940576889505
415,1,1.2,600,5000,0.0766,0.0073719161892143075
